OrderID,OrderDate,StoreName,Region,SKU,Units,UnitPrice
ORD-1087,2026-07-08,Metro Center Store,West,SKU-1001,18,69.81
ORD-1088,2026-06-19,Downtown Central ,West,SKU-1004,15,170.22
ORD-1089,2026-07-03,Metro Center Store,East,SKU-1014,20,205.6
ORD-1090,2026-09-09,Metro Center Store,West,SKU-1014,6,188.48
ORD-1091,2026-08-07,Metro Center,West,SKU-1008,8,211.57
ORD-1092,2026-09-06,WestSide Mall,West,SKU-1007,9,115.57
ORD-1093,2026-08-21,WestSide Mall,South,SKU-1008,11,86.73
ORD-1094,2026-07-13,Metro Center Store,North,SKU-1004,5,65.5
ORD-1095,2026-07-03,downtown central,South,SKU-1002,14,107.82
ORD-1096,2026-08-15,Metro Center Store,West,SKU-1013,2,59.64
ORD-1097,2026-07-31,North Plaza Inc,West,SKU-1000,19,101.29
ORD-1098,2026-07-21,Downtown Central,East,SKU-1009,13,214.83
ORD-1099,2026-09-06,North Plaza Inc,South,SKU-INVALID-999,8,75.5
ORD-1100,2026-09-09,Metro Center,North,SKU-1012,11,170.53
ORD-1001,2026-07-03,Metro Center Store,South,SKU-1013,8,117.81
